Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Read Count
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,,,5,4.61,Orion Children's Books,Kindle Edition,561,2016,10-02-18,28-01-18,holly-golightly,1
6450416,Comfort: A Journey Through Grief,Ann Hood,039333659X,9.78039E+12,4,4.18,W. W. Norton & Company,Paperback,194,2009,27-01-18,22-01-18,holly-golightly,1
33830437,Far from the Tree,Robin Benway,62330624,9.78006E+12,4,4.28,HarperTeen,Hardcover,374,2017,21-01-18,10-01-18,holly-golightly,1
77013,As I Lay Dying,William Faulkner,,,1,3.72,Vintage,Paperback,288,1991,14-01-18,06-01-18,,1
37793,A Doll's House,Henrik Ibsen,1406914835,9.78141E+12,4,3.75,Hard Press,Paperback,122,2007,30-12-17,25-12-17,holly-golightly,1
34144464,The Chaos of Standing Still,Jessica Brody,1481499181,9.78148E+12,0,3.87,Simon Pulse,Hardcover,406,2017,,25-12-17,to-read,0
6288481,Highly Effective Networking: Meet the Right People and Get a Great Job,Orville Pierson,1601630506,9.7816E+12,0,3.51,Career Press,Paperback,224,2009,,24-12-17,to-read,0
2110533,Now What?: The Young Person's Guide to Choosing the Perfect Career,Nicholas Lore,743266307,9.78074E+12,0,3.84,Touchstone,Paperback,352,2008,,24-12-17,to-read,0
29385546,"Warcross (Warcross, #1)",Marie Lu,399547967,9.7804E+12,5,4.15,G.P. Putnam’s Sons Books for Young Readers,Hardcover,353,2017,22-12-17,07-12-17,breakfast-at-tiffany-s,1
25614492,Salt to the Sea,Ruta Sepetys,,,5,4.35,Philomel Books,Hardcover,391,2016,23-11-17,24-11-16,breakfast-at-tiffany-s,1
25893579,Denton Little's Deathdate (Denton Little #1),Lance   Rubin,553496999,9.78055E+12,2,3.83,Ember,Paperback,352,2017,11-11-17,02-11-17,mount-crumpit,1
25489134,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,1101885939,9.7811E+12,0,4.1,Del Rey Books,Hardcover,319,2017,,02-11-17,to-read,0
30267929,We Were the Lucky Ones,Georgia Hunter,399563083,9.7804E+12,0,4.39,Viking,Hardcover,403,2017,,02-11-17,to-read,0
35606560,The Sun and Her Flowers,Rupi Kaur,1449486797,9.78145E+12,0,4.12,Andrews McMeel Publishing,Paperback,256,2017,,02-11-17,to-read,0
30038960,"Insomniac City: New York, Oliver, and Me",Bill Hayes,1620404931,9.78162E+12,0,4.42,Bloomsbury USA,Hardcover,294,2017,,02-11-17,to-read,0
30649506,At Home in the World: Reflections on Belonging While Wandering the Globe,Tsh Oxenreider,140020559X,9.7814E+12,0,4.04,Thomas Nelson,Hardcover,288,2017,,02-11-17,to-read,0
34273236,Little Fires Everywhere,Celeste Ng,735224293,9.78074E+12,0,4.09,Penguin Press,Hardcover,338,2017,,02-11-17,to-read,0
15638,Cyrano de Bergerac,Edmond Rostand,451528921,9.78045E+12,4,4.06,Signet Classics,Paperback,240,2003,25-10-17,21-10-17,holly-golightly,1
23149128,Extraordinary Means,Robyn Schneider,006221716X,9.78006E+12,5,3.94,Katherine Tegen Books,Hardcover,336,2015,22-10-17,29-06-17,breakfast-at-tiffany-s,1
32025255,Tell Me Three Things,Julie Buxbaum,553535676,9.78055E+12,5,4.06,Ember,Paperback,352,2017,06-10-17,06-10-17,breakfast-at-tiffany-s,1
30199656,What to Say Next,Julie Buxbaum,553535684,9.78055E+12,0,4.01,Delacorte Press,Hardcover,320,2017,,06-10-17,to-read,0
15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,,,3,4.08,Simon & Schuster Books for Young Readers,Hardcover,355,2014,30-09-17,27-05-17,holly-golightly,1
